Epoch, Loss, Dice Score, Dice Loss, CE Loss, SkelRec Loss, Time
143, -0.4750, 0.8156, 0.1844, 0.1404, -0.7998, 620.07
144, -0.4729, 0.8149, 0.1851, 0.1412, -0.7992, 623.13
145, -0.4737, 0.8151, 0.1849, 0.1410, -0.7996, 619.89
146, -0.4759, 0.8159, 0.1841, 0.1401, -0.8001, 618.39
147, -0.4761, 0.8157, 0.1843, 0.1396, -0.8000, 621.47
148, -0.4754, 0.8158, 0.1842, 0.1404, -0.8000, 622.22
149, -0.4784, 0.8168, 0.1832, 0.1392, -0.8008, 619.80
150, -0.4798, 0.8172, 0.1828, 0.1382, -0.8007, 618.35
151, -0.4799, 0.8170, 0.1830, 0.1379, -0.8008, 616.79
152, -0.4811, 0.8174, 0.1826, 0.1373, -0.8010, 620.05
153, -0.4822, 0.8178, 0.1822, 0.1370, -0.8014, 617.98
154, -0.4801, 0.8171, 0.1829, 0.1378, -0.8008, 620.76
155, -0.4804, 0.8175, 0.1825, 0.1385, -0.8015, 619.17
156, -0.4798, 0.8177, 0.1823, 0.1390, -0.8011, 620.26
157, -0.4825, 0.8181, 0.1819, 0.1372, -0.8016, 619.68
158, -0.4831, 0.8184, 0.1816, 0.1374, -0.8021, 618.34
159, -0.4833, 0.8185, 0.1815, 0.1372, -0.8021, 620.32
160, -0.4848, 0.8191, 0.1809, 0.1367, -0.8024, 620.73
161, -0.4852, 0.8193, 0.1807, 0.1362, -0.8021, 618.95
162, -0.4865, 0.8197, 0.1803, 0.1361, -0.8029, 618.73
163, -0.4857, 0.8198, 0.1802, 0.1374, -0.8034, 618.82
164, -0.4884, 0.8204, 0.1796, 0.1353, -0.8033, 618.93
165, -0.4877, 0.8202, 0.1798, 0.1356, -0.8031, 615.99
166, -0.4900, 0.8208, 0.1792, 0.1346, -0.8038, 617.63
167, -0.4889, 0.8204, 0.1796, 0.1350, -0.8035, 618.83
168, -0.4895, 0.8208, 0.1792, 0.1349, -0.8037, 615.10
169, -0.4894, 0.8206, 0.1794, 0.1348, -0.8036, 617.38
170, -0.4892, 0.8206, 0.1794, 0.1350, -0.8035, 617.78
171, -0.4931, 0.8218, 0.1782, 0.1333, -0.8046, 615.24
172, -0.4942, 0.8224, 0.1776, 0.1333, -0.8051, 617.06
173, -0.4914, 0.8216, 0.1784, 0.1344, -0.8043, 618.04
174, -0.4940, 0.8223, 0.1777, 0.1331, -0.8049, 618.39
175, -0.4924, 0.8218, 0.1782, 0.1341, -0.8047, 616.64
176, -0.4949, 0.8226, 0.1774, 0.1330, -0.8052, 617.78
177, -0.4945, 0.8224, 0.1776, 0.1328, -0.8049, 617.73
178, -0.4959, 0.8228, 0.1772, 0.1324, -0.8055, 616.68
179, -0.4958, 0.8230, 0.1770, 0.1325, -0.8054, 582.38
180, -0.4965, 0.8233, 0.1767, 0.1322, -0.8054, 564.21
181, -0.4965, 0.8232, 0.1768, 0.1322, -0.8054, 564.69
182, -0.4981, 0.8236, 0.1764, 0.1314, -0.8059, 567.42
183, -0.4983, 0.8238, 0.1762, 0.1316, -0.8060, 568.28
184, -0.4987, 0.8240, 0.1760, 0.1314, -0.8062, 569.75
185, -0.4996, 0.8241, 0.1759, 0.1305, -0.8060, 567.08
186, -0.4993, 0.8241, 0.1759, 0.1308, -0.8060, 568.30
187, -0.4998, 0.8243, 0.1757, 0.1309, -0.8064, 566.17
188, -0.4999, 0.8243, 0.1757, 0.1306, -0.8063, 579.31
189, -0.5016, 0.8249, 0.1751, 0.1299, -0.8066, 618.75
190, -0.4994, 0.8245, 0.1755, 0.1317, -0.8066, 618.10
191, -0.5012, 0.8248, 0.1752, 0.1305, -0.8069, 619.72
192, -0.5026, 0.8252, 0.1748, 0.1299, -0.8073, 618.30
193, -0.5035, 0.8255, 0.1745, 0.1292, -0.8072, 620.72
194, -0.5018, 0.8252, 0.1748, 0.1311, -0.8077, 620.84
195, -0.5039, 0.8257, 0.1743, 0.1291, -0.8073, 619.90
196, -0.5046, 0.8260, 0.1740, 0.1291, -0.8077, 620.88
197, -0.5045, 0.8262, 0.1738, 0.1294, -0.8077, 617.62
198, -0.5042, 0.8259, 0.1741, 0.1293, -0.8076, 619.82
199, -0.5029, 0.8255, 0.1745, 0.1298, -0.8072, 618.77
