Epoch, Loss, Dice Score, Dice Loss, CE Loss, Time
187, 0.2925, 0.8251, 0.1749, 0.1176, 286.82
188, 0.2912, 0.8252, 0.1748, 0.1164, 285.13
189, 0.2909, 0.8253, 0.1747, 0.1162, 286.97
190, 0.2913, 0.8254, 0.1746, 0.1167, 286.98
191, 0.2897, 0.8259, 0.1741, 0.1156, 286.50
192, 0.2878, 0.8268, 0.1732, 0.1147, 286.91
193, 0.2901, 0.8261, 0.1739, 0.1162, 286.71
194, 0.2886, 0.8267, 0.1733, 0.1153, 286.81
195, 0.2892, 0.8265, 0.1735, 0.1157, 286.05
196, 0.2879, 0.8270, 0.1730, 0.1150, 286.30
197, 0.2880, 0.8268, 0.1732, 0.1148, 287.12
198, 0.2879, 0.8271, 0.1729, 0.1150, 287.42
199, 0.2886, 0.8272, 0.1728, 0.1158, 285.99
200, 0.2869, 0.8275, 0.1725, 0.1144, 287.18
201, 0.2857, 0.8280, 0.1720, 0.1137, 286.92
202, 0.2863, 0.8279, 0.1721, 0.1142, 287.14
203, 0.2850, 0.8283, 0.1717, 0.1134, 286.70
204, 0.2848, 0.8286, 0.1714, 0.1134, 286.44
205, 0.2846, 0.8287, 0.1713, 0.1133, 287.24
206, 0.2854, 0.8285, 0.1715, 0.1139, 286.55
207, 0.2859, 0.8282, 0.1718, 0.1141, 286.96
208, 0.2855, 0.8284, 0.1716, 0.1139, 286.92
209, 0.2862, 0.8284, 0.1716, 0.1147, 286.08
210, 0.2831, 0.8297, 0.1703, 0.1128, 286.59
211, 0.2838, 0.8292, 0.1708, 0.1131, 286.47
212, 0.2820, 0.8299, 0.1701, 0.1119, 287.17
213, 0.2835, 0.8297, 0.1703, 0.1131, 286.55
214, 0.2829, 0.8296, 0.1704, 0.1125, 286.37
215, 0.2830, 0.8297, 0.1703, 0.1126, 286.21
216, 0.2823, 0.8299, 0.1701, 0.1122, 285.66
217, 0.2821, 0.8300, 0.1700, 0.1121, 286.08
218, 0.2803, 0.8310, 0.1690, 0.1113, 287.26
219, 0.2823, 0.8304, 0.1696, 0.1126, 287.08
220, 0.2811, 0.8308, 0.1692, 0.1119, 286.24
